RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023
394884,484,"Mount Airy, NC",msa,NC,,,,,,,19,28,43,41,34,45,48,42,38,35,43,43,41,42,40,43,46,40,50,37,45,43,40,41,51,43,45,43,44,41,47,51,43,43,41,43,41,42,45,45,40,37,49,37,41,38,42,41,37,35,38,34,35,38,39,37,33,34,34,38,33,30
394647,486,"Greeneville, TN",msa,TN,,,,,,,,,,,,,,36,41,42,36,36,37,39,38,40,38,39,40,38,36,38,37,43,42,43,40,42,42,40,45,39,42,42,41,40,45,43,36,37,41,41,42,38,37,34,40,37,32,35,35,35,35,34,38,32,35,31,33,32,34,32
394752,490,"Klamath Falls, OR",msa,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,16,39,41,44,46,49,45,49,52,48,47,49,46,53,49,53,53,50,48,48,49,45,40,40,42,42,41,40,36,38,40,34,38,32,38,34,32,39,40,34
394877,491,"Morehead City, NC",msa,NC,42,41,38,37,37,39,41,40,43,47,41,42,44,38,36,37,38,40,38,38,42,36,39,37,44,36,33,45,41,37,41,42,44,42,45,47,46,43,41,44,40,43,43,39,42,40,39,41,44,42,40,37,36,38,34,37,35,34,36,32,37,31,30,31,33,35,32,35
394472,492,"Clearlake, CA",msa,CA,41,29,33,33,33,32,33,36,37,33,32,34,35,32,31,28,30,31,36,35,35,35,36,35,41,33,38,41,41,36,36,38,47,48,40,42,43,38,35,43,42,43,42,45,37,37,41,40,39,34,33,34,34,35,31,29,30,32,30,29,32,27,27,32,32,30,30,31
394587,495,"Farmington, MO",msa,MO,38,32,35,34,36,35,36,35,38,31,34,32,34,34,31,31,32,36,32,31,33,36,31,36,32,31,29,35,32,34,38,34,37,38,33,38,40,30,33,37,35,38,36,37,35,37,35,34,33,36,33,35,36,36,32,36,33,34,32,30,31,29,30,34,34,34,32,31
394897,496,"Muskogee, OK",msa,OK,,,,,,,,,,,,,,,28,30,39,33,29,31,36,36,32,34,46,36,33,35,33,35,43,42,41,39,42,43,39,39,28,39,39,43,44,39,43,40,41,44,40,38,39,38,35,38,35,40,32,36,38,34,36,36,36,33,36,40,36,34
394826,497,"Marion, IN",msa,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,32,31,33,36,35,32,36,35,32,33,32,30,32,30,28,28,29,27,30,23,26,27,28,25,28,24,31,29,25,29,21
394586,498,"Faribault, MN",msa,MN,,,,,,,24,32,33,33,28,28,31,27,35,29,31,34,34,30,29,32,30,28,31,30,32,32,36,32,32,35,38,33,31,32,36,35,35,34,35,37,36,36,37,31,30,36,35,33,34,32,33,31,34,29,33,31,27,24,28,26,33,31,32,31,31,29
394922,501,"North Wilkesboro, NC",msa,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,31,32,37,37,34
394885,502,"Mount Pleasant, MI",msa,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,17,33,41,39,31,21,32,35,35,39,36,37,37,38,31,35,41,32,37,28,32,31,35,32,31,31,29,34,32,27,31,26,30,33,35,23
394827,504,"Marion, OH",msa,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,37,36,38,35,37,35,38,32,31,31,31,32,32,34,31,32,30,30,34,29,29,32,32,34,30,29
394825,507,"Marinette, WI",msa,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,22,26,27,13,16
395105,513,"Somerset, KY",msa,KY,,,,,,,,25,28,34,29,29,25,32,31,37,33,35,35,34,32,34,45,36,40,32,33,40,39,41,44,37,40,41,45,40,45,35,37,38,43,40,40,35,39,35,35,40,42,36,34,34,35,34,36,31,32,32,35,32,29,27,34,31,37,33,37,34
394496,514,"Coos Bay, OR",msa,OR,44,38,37,34,37,43,41,38,40,36,41,41,44,35,36,38,38,40,41,38,43,41,44,46,44,38,41,41,44,39,44,44,46,47,45,48,46,44,43,38,49,49,48,49,46,44,47,43,44,42,42,43,39,37,38,34,36,33,35,37,30,35,34,31,36,35,34,30
394787,518,"Lewiston, ID",msa,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,45,47,44,39,43,42,41,42,43,36,38,37,40,41,33,35,30,31,32,30,28,31,31,33,30,35,30,35
394629,520,"Georgetown, SC",msa,SC,42,37,41,42,38,41,41,37,39,40,36,33,42,38,37,40,39,36,39,38,39,36,36,32,36,33,32,,,39,41,41,44,42,44,43,45,41,42,45,44,45,41,38,45,41,42,43,44,41,40,41,38,42,41,37,36,41,40,39,44,34,34,36,37,38,37,36
395063,522,"Sanford, NC",msa,NC,38,33,39,41,35,36,39,41,42,41,39,36,38,38,33,35,37,38,39,37,38,40,43,36,42,36,36,40,45,43,44,46,41,38,43,42,43,37,34,39,37,39,41,38,38,36,36,35,39,32,35,32,31,36,35,32,33,31,33,30,34,33,29,31,38,32,33,31
394693,528,"Hudson, NY",msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,47,48,45
394443,530,"Carlsbad, NM",msa,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,32,34,40,39,37,39
395136,532,"Sturgis, MI",msa,MI,,,,,,,,,,,,,,,36,39,36,41,37,35,40,37,32,38,36,39,37,33,,35,36,42,47,44,44,43,54,35,41,38,33,42,41,35,40,36,39,38,37,34,31,34,28,34,35,29,36,29,34,31,33,29,31,31,33,31,35,29
